Date, Open, High, Low, Close, Volume, Adj Close, Dividend, Stock Split
2012-11-13, 88.60, 90.19, 88.36, 89.08, 2985900, 81.20,,
2012-11-12, 88.96, 89.67, 88.50, 89.18, 2220100, 81.29,,
2012-11-09, 88.60, 89.56, 88.10, 88.81, 3176400, 80.95,,
2012-11-08, 89.11, 89.83, 88.46, 88.55, 3005900, 80.71,,
2012-11-07, 90.34, 90.34, 88.71, 89.38, 4593100, 81.47,,
2012-11-06, 89.95, 91.23, 89.87, 90.86, 2806100, 82.82,,
2012-11-05, 88.08, 89.84, 88.08, 89.60, 2387800, 81.67,,
2012-11-02, 89.61, 89.97, 88.78, 88.97, 3051900, 81.10,,
2012-11-01, 87.94, 89.40, 87.84, 89.25, 3306600, 81.35,,
2012-10-31, 88.03, 88.69, 87.49, 87.60, 3360400, 79.85,,
2012-10-26, 87.90, 88.54, 87.59, 88.03, 3592600, 80.24,,
2012-10-25, 88.57, 88.84, 87.41, 87.81, 4613900, 80.04,,
2012-10-24, 89.03, 89.54, 88.15, 88.39, 3321300, 80.57,,
2012-10-23, 89.67, 90.52, 88.58, 88.73, 5866000, 80.88,,
2012-10-22, 92.41, 93.06, 91.50, 92.53, 3130800, 84.34,,
2012-10-19, 94.61, 94.61, 92.69, 92.94, 3804100, 84.72,,
2012-10-18, 94.68, 95.00, 94.17, 94.74, 2538800, 86.36,,
2012-10-17, 94.94, 95.10, 94.55, 94.81, 3191800, 86.42,,
2012-10-16, 94.02, 94.34, 93.29, 94.23, 2857500, 85.89,,
2012-10-15, 92.71, 93.06, 92.37, 92.79, 2916300, 84.58,,
2012-10-12, 92.95, 93.34, 92.40, 92.75, 2566100, 84.54,,
2012-10-11, 93.86, 93.87, 92.78, 92.83, 2429200, 84.62,,
2012-10-10, 93.95, 94.00, 93.15, 93.28, 2561600, 85.03,,
2012-10-09, 95.29, 95.29, 93.90, 93.94, 2989500, 85.63,,
2012-10-08, 94.55, 95.46, 94.50, 95.37, 2607600, 86.93,,
2012-10-05, 94.74, 95.20, 94.45, 94.96, 3663600, 86.56,,
2012-10-04, 94.05, 94.53, 93.66, 94.43, 2531400, 86.07,,
2012-10-03, 93.81, 94.00, 93.00, 93.78, 2610300, 85.48,,
2012-10-02, 94.23, 94.29, 93.10, 93.54, 3602300, 85.26,,
2012-10-01, 92.90, 94.27, 92.21, 93.29, 3900600, 85.04,,
2012-09-28, 92.47, 92.86, 91.70, 92.42, 2559500, 84.24,,
2012-09-27, 92.89, 93.21, 91.96, 92.82, 2081400, 84.61,,
2012-09-26, 92.88, 93.40, 92.54, 92.59, 2612900, 84.40,,
2012-09-25, 93.95, 94.10, 92.72, 92.83, 3800400, 84.62,,
2012-09-24, 92.85, 94.09, 92.76, 93.73, 3037400, 85.44,,
2012-09-21, 94.06, 94.07, 92.94, 93.21, 9547000, 84.96,,
2012-09-20, 93.20, 93.63, 92.91, 93.58, 2075600, 85.30,,
2012-09-19, 92.88, 94.06, 92.73, 93.63, 2723500, 85.35,,
2012-09-18, 93.78, 93.99, 93.22, 93.43, 2477500, 85.16,,
2012-09-17, 93.66, 94.09, 93.49, 93.78, 3290300, 85.48,,
2012-09-14, 92.86, 93.98, 92.56, 93.98, 4993000, 85.66,,
2012-09-13, 90.92, 92.43, 90.46, 92.06, 2729300, 83.91,,
2012-09-12, 91.60, 91.66, 90.46, 90.81, 2409600, 82.77,,
2012-09-11, 90.73, 91.59, 90.65, 91.17, 2403400, 83.10,,
2012-09-10, 92.27, 92.31, 90.61, 90.67, 6356100, 82.65,,
2012-09-07, 93.38, 93.65, 92.70, 92.82, 3215400, 84.61,,
2012-09-06, 92.37, 93.38, 92.06, 93.28, 3223400, 85.03,,
2012-09-05, 91.92, 91.99, 91.11, 91.75, 2985500, 83.63,,
2012-09-04, 92.03, 92.33, 91.10, 91.68, 2532300, 83.57,,
2012-08-31, 92.44, 93.00, 91.90, 92.60, 1917300, 84.41,,
2012-08-30, 92.05, 92.15, 91.30, 91.76, 1729600, 83.64,,
2012-08-29, 92.50, 92.80, 92.30, 92.43, 1736000, 84.25,,
2012-08-28, 92.36, 92.77, 92.20, 92.30, 1913000, 84.13,,
2012-08-27, 92.92, 92.97, 92.40, 92.59, 1880000, 84.40,,
2012-08-24, 92.03, 92.97, 91.94, 92.83, 1945800, 84.62,,
2012-08-23, 92.65, 92.68, 91.79, 91.98, 1823500, 83.84,,
2012-08-22, 92.56, 93.36, 92.43, 92.68, 2464000, 84.48, 0.59, 
2012-08-21, 93.98, 94.10, 92.99, 93.21, 2302800, 84.42,,
2012-08-20, 94.00, 94.17, 93.55, 93.89, 1639500, 85.04,,
2012-08-17, 93.93, 94.30, 93.59, 94.24, 3069600, 85.36,,
2012-08-16, 92.75, 93.87, 92.21, 93.74, 3395200, 84.90,,
2012-08-15, 92.00, 92.74, 91.94, 92.54, 1983400, 83.82,,
