Ticker PE
navi 6.17
ntap 35.22
nflx 303.22
ntrs 17.08
nvda 49.66
orly 28.87
pcar 30.76
pdco 25.11
payx 28.40
pypl 34.64
pbct 17.41
pcln 27.83
qcom 18.16
regn 67.07
rost 24.27
sni 11.09
stx 39.18
swks 13.18
spls 16.39
sbux 31.40
srcl 31.66
symc 5.90
trow 16.82
txn 23.59
tsco 27.92
trip 54.83
foxa 22.49
fox 23.19
ulta 48.67
urbn 16.71
vrsn 26.99
vrsk 23.57
viab 7.84
wba 27.83
wdc 42.85
wfm 21.49
wltw 25.61
wynn 30.17
xlnx 24.55
zion 17.40
