Date, Open, High, Low, Close, Volume, Adj Close, Dividend, Stock Split
2016-06-20, 170.90, 172.80, 170.53, 171.23, 2152200, 171.23,,
2016-06-17, 169.99, 170.00, 168.42, 168.94, 3440800, 168.94,,
2016-06-16, 167.35, 170.39, 166.62, 169.93, 2629700, 169.93,,
2016-06-15, 167.95, 168.86, 167.47, 167.80, 1689500, 167.80,,
2016-06-14, 167.29, 167.81, 166.60, 167.61, 2021400, 167.61,,
2016-06-13, 168.45, 168.64, 167.11, 167.13, 2122900, 167.13,,
2016-06-10, 169.27, 169.30, 167.88, 168.56, 2119300, 168.56,,
2016-06-09, 170.50, 171.47, 169.40, 170.13, 2201800, 170.13,,
2016-06-08, 170.95, 171.93, 170.65, 171.42, 1680000, 171.42,,
2016-06-07, 170.25, 171.49, 170.22, 170.91, 1698800, 170.91,,
2016-06-06, 168.85, 170.59, 168.59, 170.08, 1510700, 170.08,,
2016-06-03, 168.05, 168.66, 167.51, 168.38, 1424400, 168.38,,
2016-06-02, 168.71, 168.71, 167.27, 168.04, 1980500, 168.04,,
2016-06-01, 167.78, 168.93, 167.09, 168.69, 1228200, 168.69,,
2016-05-31, 169.32, 169.75, 167.66, 168.32, 2067500, 168.32,,
2016-05-27, 168.91, 169.03, 168.28, 168.89, 1097600, 168.89,,
2016-05-26, 170.01, 170.77, 168.53, 168.91, 1545600, 168.91,,
2016-05-25, 169.00, 170.36, 168.75, 169.99, 1860000, 169.99,,
2016-05-24, 167.16, 168.79, 166.70, 168.63, 1627400, 168.63,,
2016-05-23, 165.28, 166.56, 164.52, 166.11, 1649800, 166.11,,
2016-05-20, 165.25, 166.47, 164.93, 165.01, 1746500, 165.01,,
2016-05-19, 165.37, 166.06, 163.17, 165.11, 1657300, 165.11,,
2016-05-18, 166.50, 167.93, 165.76, 166.82, 1624400, 166.82, 1.11, 
2016-05-17, 169.57, 169.94, 167.09, 167.81, 2126000, 166.70,,
2016-05-13, 170.05, 170.38, 167.82, 168.32, 1875900, 167.21,,
2016-05-12, 169.86, 170.63, 168.76, 170.15, 1741900, 169.02,,
2016-05-11, 170.20, 171.27, 169.57, 169.77, 1786400, 168.65,,
2016-05-10, 169.23, 170.39, 169.00, 170.26, 1732600, 169.13,,
2016-05-09, 168.59, 169.05, 167.69, 168.52, 1301300, 167.41,,
